source,target,type,weight
lec_1,lec_1_topic_0,lecture_contains_topic,1.0
lec_1,lec_1_topic_1,lecture_contains_topic,1.0
lec_1,lec_1_topic_2,lecture_contains_topic,1.0
lec_1,lec_1_topic_3,lecture_contains_topic,1.0
lec_1,lec_1_topic_4,lecture_contains_topic,1.0
lec_1,lec_1_topic_5,lecture_contains_topic,1.0
lec_1,concept_0,lecture_tests_concept,1.0
lec_1,concept_1,lecture_tests_concept,1.0
lec_1,concept_2,lecture_tests_concept,1.0
lec_1,concept_3,lecture_tests_concept,1.0
lec_1,concept_4,lecture_tests_concept,1.0
lec_1,concept_5,lecture_tests_concept,1.0
lec_1,concept_6,lecture_tests_concept,1.0
lec_1,concept_7,lecture_tests_concept,1.0
lec_1,concept_8,lecture_tests_concept,1.0
lec_1,concept_9,lecture_tests_concept,1.0
lec_1,concept_10,lecture_tests_concept,1.0
lec_1,concept_11,lecture_tests_concept,1.0
lec_1,concept_12,lecture_tests_concept,1.0
lec_1,concept_13,lecture_tests_concept,1.0
lec_1,concept_14,lecture_tests_concept,1.0
lec_1,concept_15,lecture_tests_concept,1.0
lec_1,concept_16,lecture_tests_concept,1.0
lec_1,concept_17,lecture_tests_concept,1.0
lec_1,concept_18,lecture_tests_concept,1.0
lec_1,concept_19,lecture_tests_concept,1.0
lec_1,concept_20,lecture_tests_concept,1.0
lec_1,concept_21,lecture_tests_concept,1.0
lec_1,concept_22,lecture_tests_concept,1.0
lec_1,concept_23,lecture_tests_concept,1.0
lec_1,concept_24,lecture_tests_concept,1.0
lec_1,concept_25,lecture_tests_concept,1.0
lec_1,concept_26,lecture_tests_concept,1.0
lec_1,concept_27,lecture_tests_concept,1.0
lec_1,concept_28,lecture_tests_concept,1.0
lec_1,concept_29,lecture_tests_concept,1.0
lec_2,lec_2_topic_0,lecture_contains_topic,1.0
lec_2,lec_2_topic_1,lecture_contains_topic,1.0
lec_2,lec_2_topic_2,lecture_contains_topic,1.0
lec_2,lec_2_topic_3,lecture_contains_topic,1.0
lec_2,lec_2_topic_4,lecture_contains_topic,1.0
lec_2,lec_2_topic_5,lecture_contains_topic,1.0
lec_2,concept_30,lecture_tests_concept,1.0
lec_2,concept_31,lecture_tests_concept,1.0
lec_2,concept_32,lecture_tests_concept,1.0
lec_2,concept_33,lecture_tests_concept,1.0
lec_2,concept_34,lecture_tests_concept,1.0
lec_2,concept_35,lecture_tests_concept,1.0
lec_2,concept_36,lecture_tests_concept,1.0
lec_2,concept_37,lecture_tests_concept,1.0
lec_2,concept_29,lecture_tests_concept,1.0
lec_2,concept_38,lecture_tests_concept,1.0
lec_2,concept_39,lecture_tests_concept,1.0
lec_2,concept_40,lecture_tests_concept,1.0
lec_2,concept_41,lecture_tests_concept,1.0
lec_2,concept_42,lecture_tests_concept,1.0
lec_2,concept_43,lecture_tests_concept,1.0
lec_2,concept_44,lecture_tests_concept,1.0
lec_2,concept_45,lecture_tests_concept,1.0
lec_2,concept_46,lecture_tests_concept,1.0
lec_2,concept_24,lecture_tests_concept,1.0
lec_2,concept_47,lecture_tests_concept,1.0
lec_2,concept_48,lecture_tests_concept,1.0
lec_2,concept_49,lecture_tests_concept,1.0
lec_2,concept_50,lecture_tests_concept,1.0
lec_2,concept_51,lecture_tests_concept,1.0
lec_2,concept_52,lecture_tests_concept,1.0
lec_2,concept_0,lecture_tests_concept,1.0
lec_2,concept_53,lecture_tests_concept,1.0
lec_2,concept_54,lecture_tests_concept,1.0
lec_2,concept_15,lecture_tests_concept,1.0
lec_3,lec_3_topic_0,lecture_contains_topic,1.0
lec_3,lec_3_topic_1,lecture_contains_topic,1.0
lec_3,lec_3_topic_2,lecture_contains_topic,1.0
lec_3,lec_3_topic_3,lecture_contains_topic,1.0
lec_3,lec_3_topic_4,lecture_contains_topic,1.0
lec_3,lec_3_topic_5,lecture_contains_topic,1.0
lec_3,concept_52,lecture_tests_concept,1.0
lec_3,concept_40,lecture_tests_concept,1.0
lec_3,concept_55,lecture_tests_concept,1.0
lec_3,concept_56,lecture_tests_concept,1.0
lec_3,concept_57,lecture_tests_concept,1.0
lec_3,concept_58,lecture_tests_concept,1.0
lec_3,concept_59,lecture_tests_concept,1.0
lec_3,concept_60,lecture_tests_concept,1.0
lec_3,concept_61,lecture_tests_concept,1.0
lec_3,concept_62,lecture_tests_concept,1.0
lec_3,concept_63,lecture_tests_concept,1.0
lec_3,concept_64,lecture_tests_concept,1.0
lec_3,concept_65,lecture_tests_concept,1.0
lec_3,concept_66,lecture_tests_concept,1.0
lec_3,concept_67,lecture_tests_concept,1.0
lec_3,concept_39,lecture_tests_concept,1.0
lec_3,concept_68,lecture_tests_concept,1.0
lec_3,concept_69,lecture_tests_concept,1.0
lec_3,concept_70,lecture_tests_concept,1.0
lec_3,concept_71,lecture_tests_concept,1.0
lec_3,concept_72,lecture_tests_concept,1.0
lec_3,concept_73,lecture_tests_concept,1.0
lec_3,concept_74,lecture_tests_concept,1.0
lec_3,concept_75,lecture_tests_concept,1.0
lec_3,concept_76,lecture_tests_concept,1.0
lec_3,concept_37,lecture_tests_concept,1.0
lec_3,concept_77,lecture_tests_concept,1.0
lec_3,concept_11,lecture_tests_concept,1.0
lec_3,concept_78,lecture_tests_concept,1.0
lec_3,concept_79,lecture_tests_concept,1.0
lec_4,lec_4_topic_0,lecture_contains_topic,1.0
lec_4,lec_4_topic_1,lecture_contains_topic,1.0
lec_4,lec_4_topic_2,lecture_contains_topic,1.0
lec_4,lec_4_topic_3,lecture_contains_topic,1.0
lec_4,lec_4_topic_4,lecture_contains_topic,1.0
lec_4,lec_4_topic_5,lecture_contains_topic,1.0
lec_4,concept_80,lecture_tests_concept,1.0
lec_4,concept_81,lecture_tests_concept,1.0
lec_4,concept_82,lecture_tests_concept,1.0
lec_4,concept_83,lecture_tests_concept,1.0
lec_4,concept_84,lecture_tests_concept,1.0
lec_4,concept_85,lecture_tests_concept,1.0
lec_4,concept_86,lecture_tests_concept,1.0
lec_4,concept_87,lecture_tests_concept,1.0
lec_4,concept_88,lecture_tests_concept,1.0
lec_4,concept_89,lecture_tests_concept,1.0
lec_4,concept_90,lecture_tests_concept,1.0
lec_4,concept_91,lecture_tests_concept,1.0
lec_4,concept_16,lecture_tests_concept,1.0
lec_4,concept_15,lecture_tests_concept,1.0
lec_4,concept_92,lecture_tests_concept,1.0
lec_4,concept_93,lecture_tests_concept,1.0
lec_4,concept_94,lecture_tests_concept,1.0
lec_4,concept_95,lecture_tests_concept,1.0
lec_4,concept_96,lecture_tests_concept,1.0
lec_4,concept_97,lecture_tests_concept,1.0
lec_4,concept_98,lecture_tests_concept,1.0
lec_4,concept_99,lecture_tests_concept,1.0
lec_4,concept_100,lecture_tests_concept,1.0
lec_4,concept_101,lecture_tests_concept,1.0
lec_4,concept_102,lecture_tests_concept,1.0
lec_4,concept_48,lecture_tests_concept,1.0
lec_4,concept_103,lecture_tests_concept,1.0
lec_4,concept_33,lecture_tests_concept,1.0
lec_4,concept_104,lecture_tests_concept,1.0
lec_4,concept_6,lecture_tests_concept,1.0
lec_5,lec_5_topic_0,lecture_contains_topic,1.0
lec_5,lec_5_topic_1,lecture_contains_topic,1.0
lec_5,lec_5_topic_2,lecture_contains_topic,1.0
lec_5,lec_5_topic_3,lecture_contains_topic,1.0
lec_5,lec_5_topic_4,lecture_contains_topic,1.0
lec_5,lec_5_topic_5,lecture_contains_topic,1.0
lec_5,concept_105,lecture_tests_concept,1.0
lec_5,concept_106,lecture_tests_concept,1.0
lec_5,concept_98,lecture_tests_concept,1.0
lec_5,concept_107,lecture_tests_concept,1.0
lec_5,concept_90,lecture_tests_concept,1.0
lec_5,concept_108,lecture_tests_concept,1.0
lec_5,concept_109,lecture_tests_concept,1.0
lec_5,concept_110,lecture_tests_concept,1.0
lec_5,concept_111,lecture_tests_concept,1.0
lec_5,concept_112,lecture_tests_concept,1.0
lec_5,concept_113,lecture_tests_concept,1.0
lec_5,concept_114,lecture_tests_concept,1.0
lec_5,concept_15,lecture_tests_concept,1.0
lec_5,concept_115,lecture_tests_concept,1.0
lec_5,concept_116,lecture_tests_concept,1.0
lec_5,concept_117,lecture_tests_concept,1.0
lec_5,concept_118,lecture_tests_concept,1.0
lec_5,concept_119,lecture_tests_concept,1.0
lec_5,concept_120,lecture_tests_concept,1.0
lec_5,concept_51,lecture_tests_concept,1.0
lec_5,concept_121,lecture_tests_concept,1.0
lec_5,concept_122,lecture_tests_concept,1.0
lec_5,concept_102,lecture_tests_concept,1.0
lec_5,concept_123,lecture_tests_concept,1.0
lec_5,concept_124,lecture_tests_concept,1.0
lec_5,concept_38,lecture_tests_concept,1.0
lec_5,concept_66,lecture_tests_concept,1.0
lec_5,concept_125,lecture_tests_concept,1.0
lec_6,lec_6_topic_0,lecture_contains_topic,1.0
lec_6,lec_6_topic_1,lecture_contains_topic,1.0
lec_6,lec_6_topic_2,lecture_contains_topic,1.0
lec_6,lec_6_topic_3,lecture_contains_topic,1.0
lec_6,lec_6_topic_4,lecture_contains_topic,1.0
lec_6,lec_6_topic_5,lecture_contains_topic,1.0
lec_6,concept_126,lecture_tests_concept,1.0
lec_6,concept_127,lecture_tests_concept,1.0
lec_6,concept_128,lecture_tests_concept,1.0
lec_6,concept_15,lecture_tests_concept,1.0
lec_6,concept_90,lecture_tests_concept,1.0
lec_6,concept_116,lecture_tests_concept,1.0
lec_6,concept_129,lecture_tests_concept,1.0
lec_6,concept_130,lecture_tests_concept,1.0
lec_6,concept_131,lecture_tests_concept,1.0
lec_6,concept_132,lecture_tests_concept,1.0
lec_6,concept_133,lecture_tests_concept,1.0
lec_6,concept_134,lecture_tests_concept,1.0
lec_6,concept_135,lecture_tests_concept,1.0
lec_6,concept_23,lecture_tests_concept,1.0
lec_6,concept_136,lecture_tests_concept,1.0
lec_6,concept_137,lecture_tests_concept,1.0
lec_6,concept_138,lecture_tests_concept,1.0
lec_6,concept_66,lecture_tests_concept,1.0
lec_6,concept_139,lecture_tests_concept,1.0
lec_6,concept_140,lecture_tests_concept,1.0
lec_6,concept_6,lecture_tests_concept,1.0
lec_6,concept_141,lecture_tests_concept,1.0
lec_6,concept_142,lecture_tests_concept,1.0
lec_6,concept_143,lecture_tests_concept,1.0
lec_6,concept_144,lecture_tests_concept,1.0
lec_7,lec_7_topic_0,lecture_contains_topic,1.0
lec_7,lec_7_topic_1,lecture_contains_topic,1.0
lec_7,lec_7_topic_2,lecture_contains_topic,1.0
lec_7,lec_7_topic_3,lecture_contains_topic,1.0
lec_7,lec_7_topic_4,lecture_contains_topic,1.0
lec_7,lec_7_topic_5,lecture_contains_topic,1.0
lec_7,concept_145,lecture_tests_concept,1.0
lec_7,concept_16,lecture_tests_concept,1.0
lec_7,concept_146,lecture_tests_concept,1.0
lec_7,concept_147,lecture_tests_concept,1.0
lec_7,concept_98,lecture_tests_concept,1.0
lec_7,concept_148,lecture_tests_concept,1.0
lec_7,concept_149,lecture_tests_concept,1.0
lec_7,concept_150,lecture_tests_concept,1.0
lec_7,concept_151,lecture_tests_concept,1.0
lec_7,concept_152,lecture_tests_concept,1.0
lec_7,concept_153,lecture_tests_concept,1.0
lec_7,concept_154,lecture_tests_concept,1.0
lec_7,concept_155,lecture_tests_concept,1.0
lec_7,concept_90,lecture_tests_concept,1.0
lec_7,concept_156,lecture_tests_concept,1.0
lec_7,concept_157,lecture_tests_concept,1.0
lec_7,concept_158,lecture_tests_concept,1.0
lec_7,concept_159,lecture_tests_concept,1.0
lec_7,concept_160,lecture_tests_concept,1.0
lec_7,concept_161,lecture_tests_concept,1.0
lec_7,concept_162,lecture_tests_concept,1.0
lec_7,concept_163,lecture_tests_concept,1.0
lec_7,concept_164,lecture_tests_concept,1.0
lec_7,concept_15,lecture_tests_concept,1.0
lec_7,concept_165,lecture_tests_concept,1.0
lec_7,concept_166,lecture_tests_concept,1.0
lec_7,concept_167,lecture_tests_concept,1.0
lec_8,lec_8_topic_0,lecture_contains_topic,1.0
lec_8,lec_8_topic_1,lecture_contains_topic,1.0
lec_8,lec_8_topic_2,lecture_contains_topic,1.0
lec_8,lec_8_topic_3,lecture_contains_topic,1.0
lec_8,lec_8_topic_4,lecture_contains_topic,1.0
lec_8,lec_8_topic_5,lecture_contains_topic,1.0
lec_8,concept_168,lecture_tests_concept,1.0
lec_8,concept_90,lecture_tests_concept,1.0
lec_8,concept_156,lecture_tests_concept,1.0
lec_8,concept_157,lecture_tests_concept,1.0
lec_8,concept_169,lecture_tests_concept,1.0
lec_8,concept_170,lecture_tests_concept,1.0
lec_8,concept_171,lecture_tests_concept,1.0
lec_8,concept_172,lecture_tests_concept,1.0
lec_8,concept_173,lecture_tests_concept,1.0
lec_8,concept_174,lecture_tests_concept,1.0
lec_8,concept_175,lecture_tests_concept,1.0
lec_8,concept_15,lecture_tests_concept,1.0
lec_8,concept_176,lecture_tests_concept,1.0
lec_8,concept_177,lecture_tests_concept,1.0
lec_8,concept_178,lecture_tests_concept,1.0
lec_8,concept_179,lecture_tests_concept,1.0
